"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE916307762209";"WP Frauenhagen FRHrep4";"In Betrieb";"24.10.2024";"25.10.2024";"Wind";"5700";"5700";"16278";"Angermünde";"e.disnatur Erneuerbare Energien GmbH";"ABR905749214889";"25.10.2024"
"SEE942894845353";"Hof-WEA";"In Betrieb";"16.10.2024";"24.10.2024";"Wind";"9,8";"9,8";"24969";"Lindewitt";"Biogas Christian Jürgensen KG";"ABR916499884543";"24.10.2024"
"SEE941465224085";"Microwindkraftanlage";"In Betrieb";"15.10.2024";"24.10.2024";"Wind";"0,8";"0,8";"97717";"Euerdorf";"(natürliche Person)";"ABR912336426013";"24.10.2024"
"SEE941918427667";"WEA 1";"In Betrieb";"21.10.2024";"22.10.2024";"Wind";"5560";"5560";"34396";"Liebenau";"Windpark Bratberg GmbH";"ABR931483379454";"22.10.2024"
"SEE977518860788";"WP Wachendorf WEA 06";"In Planung";"";"22.10.2024";"Wind";"6000";"6000";"28857";"Syke";"Schierloh-Engineering GmbH";"ABR943236007491";"22.10.2024"
"SEE937127910205";"Geflügelhäcksler";"In Betrieb";"22.10.2024";"22.10.2024";"Wind";"6";"6";"25899";"Niebüll";"(natürliche Person)";"ABR917820235690";"22.10.2024"
"SEE954696394700";"Winrad-Rzeniecki";"In Betrieb";"16.10.2024";"22.10.2024";"Wind";"1";"1";"13469";"Berlin";"(natürliche Person)";"ABR916473213918";"22.10.2024"
"SEE948196407442";"WEA 51 - 247681";"In Betrieb";"26.9.2024";"21.10.2024";"Wind";"6000";"6000";"16866";"Gumtow";"Fünfte CP Wind GmbH & Co. KG";"ABR961433865232";"21.10.2024"
"SEE939791939698";"WPIR08";"In Betrieb";"15.10.2024";"21.10.2024";"Wind";"4200";"4200";"26632";"Ihlow";"WPI Repowering GmbH & Co. KG";"ABR954611079286";"21.10.2024"
"SEE993577578969";"WPIR09";"In Betrieb";"15.10.2024";"21.10.2024";"Wind";"4200";"4200";"26632";"Ihlow";"WPI Repowering GmbH & Co. KG";"ABR954611079286";"21.10.2024"
"SEE921568074350";"WPIR10";"In Betrieb";"15.10.2024";"21.10.2024";"Wind";"4200";"4200";"26632";"Ihlow";"WPI Repowering GmbH & Co. KG";"ABR954611079286";"21.10.2024"
"SEE961116786557";"WPIR14";"In Betrieb";"15.10.2024";"21.10.2024";"Wind";"4200";"4200";"26632";"Ihlow";"WPI Repowering GmbH & Co. KG";"ABR954611079286";"21.10.2024"
"SEE928574041949";"Windgenerator";"In Betrieb";"20.10.2024";"20.10.2024";"Wind";"0,12";"0,12";"91177";"Thalmässing";"(natürliche Person)";"ABR953518756320";"20.10.2024"
"SEE915242669147";"Falkon 40";"In Betrieb";"24.5.2023";"18.10.2024";"Wind";"7,5";"7,5";"25761";"Westerdeichstrich";"(natürliche Person)";"ABR955443886349";"18.10.2024"
"SEE932123857899";"WEA 02";"In Planung";"";"18.10.2024";"Wind";"5700";"5700";"59602";"Rüthen";"MeisterEnergie GmbH & Co. KG";"ABR904626453946";"18.10.2024"
"SEE969177986152";"WEA 01";"In Planung";"";"18.10.2024";"Wind";"5700";"5700";"59602";"Rüthen";"MeisterEnergie GmbH & Co. KG";"ABR904626453946";"18.10.2024"
"SEE914817500045";"WP Frauenhagen FRHrep2";"In Betrieb";"12.9.2024";"17.10.2024";"Wind";"5700";"5700";"16278";"Angermünde";"e.disnatur Erneuerbare Energien GmbH";"ABR905749214889";"25.10.2024"
"SEE999268069600";"Windpark Kanzlei WEA 10";"In Betrieb";"15.10.2024";"16.10.2024";"Wind";"5700";"5700";"25704";"Nordermeldorf";"Windpark Kanzlei GmbH & Co. KG";"ABR975171257136";"16.10.2024"
"SEE966183504363";"WP Görrisau 02";"In Betrieb";"16.10.2024";"16.10.2024";"Wind";"4200";"4200";"24887";"Silberstedt";"Windpark Görrisau GmbH & Co. KG";"ABR904378570434";"16.10.2024"
"SEE984426097328";"WEA OBR1 / WEA 05.18 Issum";"In Betrieb";"11.10.2024";"16.10.2024";"Wind";"5560";"5560";"47661";"Issum";"Oermter Berg Wind GmbH & Co.KG";"ABR901542037649";"16.10.2024"
"SEE957225004576";"Neetzow 1";"In Betrieb";"7.10.2024";"15.10.2024";"Wind";"5700";"5700";"17391";"Neetzow-Liepen";"Venterm sechs GmbH & Co.KG";"ABR976566899399";"15.10.2024"
"SEE950754226242";"Neetzow 2";"In Betrieb";"7.10.2024";"15.10.2024";"Wind";"5700";"5700";"17391";"Neetzow-Liepen";"Venterm sechs GmbH & Co.KG";"ABR976566899399";"15.10.2024"
"SEE912941856151";"Neetzow 3";"In Betrieb";"10.10.2024";"15.10.2024";"Wind";"5700";"5700";"17391";"Neetzow-Liepen";"Venterm sechs GmbH & Co.KG";"ABR976566899399";"15.10.2024"
"SEE988753004912";"Ka 3";"In Planung";"";"15.10.2024";"Wind";"4200";"4200";"56368";"Klingelbach";"K&S regenerative Energie GmbH ＆ Co.KG";"ABR978334681922";"15.10.2024"
"SEE960743359141";"GK";"In Planung";"";"15.10.2024";"Wind";"4200";"4200";"52511";"Geilenkirchen";"KS Energiesysteme GmbH & Co. KG";"ABR990786690581";"15.10.2024"
"SEE961749418528";"NH";"In Planung";"";"15.10.2024";"Wind";"6800";"6800";"66640";"Namborn";"KS Energiesysteme GmbH & Co. KG";"ABR990786690581";"15.10.2024"
"SEE926780330796";"Welter Heide WEA 1";"In Planung";"";"15.10.2024";"Wind";"5560";"5560";"48249";"Dülmen";"Bürgerwindpark Welter Heide GbR";"ABR931437671368";"27.10.2024"
"SEE973190291049";"Welter Heide WEA 2";"In Planung";"";"15.10.2024";"Wind";"5560";"5560";"48249";"Dülmen";"Bürgerwindpark Welter Heide GbR";"ABR931437671368";"27.10.2024"
"SEE985316378626";"1381087";"In Betrieb";"2.10.2024";"14.10.2024";"Wind";"4200";"4200";"56729";"Nachtsheim";"Windpark Luxem GmbH & Co. KG";"ABR997731288992";"14.10.2024"
"SEE977880683664";"Windkraft";"In Planung";"";"14.10.2024";"Wind";"0,6";"0,6";"26388";"Wilhelmshaven";"(natürliche Person)";"ABR981086307293";"14.10.2024"
"SEE969646646259";"WEA Si 1";"In Planung";"";"14.10.2024";"Wind";"3050";"3050";"55767";"Siesbach";"GERES EnergieSysteme GmbH";"ABR965463074305";"17.10.2024"
"SEE999160794976";"WEA Si 2";"In Planung";"";"14.10.2024";"Wind";"3050";"3050";"55767";"Siesbach";"GERES EnergieSysteme GmbH";"ABR965463074305";"17.10.2024"
"SEE975142514848";"WEA Si 3";"In Planung";"";"14.10.2024";"Wind";"3050";"3050";"55767";"Siesbach";"GERES EnergieSysteme GmbH";"ABR965463074305";"17.10.2024"
"SEE905137894747";"WEA Si 4";"In Planung";"";"14.10.2024";"Wind";"3050";"3050";"55767";"Siesbach";"GERES EnergieSysteme GmbH";"ABR965463074305";"17.10.2024"
"SEE989434687158";"WEA Si 5";"In Planung";"";"14.10.2024";"Wind";"3050";"3050";"55767";"Siesbach";"GERES EnergieSysteme GmbH";"ABR965463074305";"17.10.2024"
"SEE900026085282";"Windpark Kanzlei WEA 11";"In Betrieb";"7.10.2024";"11.10.2024";"Wind";"6800";"6800";"25704";"Nordermeldorf";"Windpark Kanzlei GmbH & Co. KG";"ABR975171257136";"16.10.2024"
"SEE951056528102";"Windpark Kanzlei WEA 12";"In Betrieb";"8.10.2024";"11.10.2024";"Wind";"5700";"5700";"25704";"Nordermeldorf";"Windpark Kanzlei GmbH & Co. KG";"ABR975171257136";"16.10.2024"
"SEE971013979013";"WEA 01N";"In Betrieb";"9.10.2024";"10.10.2024";"Wind";"6200";"6200";"26899";"Rhede";"Windpark Rhede GmbH & Co. KG";"ABR924963805291";"15.10.2024"
"SEE937454491781";"WEA 02N";"In Betrieb";"2.10.2024";"10.10.2024";"Wind";"6200";"6200";"26899";"Rhede";"Windpark Rhede GmbH & Co. KG";"ABR924963805291";"15.10.2024"
"SEE988936978900";"SkyWind-NG";"In Betrieb";"8.10.2024";"10.10.2024";"Wind";"2";"2";"49525";"Lengerich";"(natürliche Person)";"ABR956410760723";"10.10.2024"
"SEE985255302591";"N2 Nordkirchen 2";"In Planung";"";"10.10.2024";"Wind";"4200";"4200";"59394";"Nordkirchen";"ENERTRAG SE";"ABR912499302384";"10.10.2024"
"SEE967013128667";"Kleinwindkraftanlage";"In Betrieb";"5.8.2013";"10.10.2024";"Wind";"12";"12";"24848";"Klein Rheide";"(natürliche Person)";"ABR976095406075";"10.10.2024"
"SEE942736749924";"WEA Viersen 3";"In Betrieb";"7.10.2024";"9.10.2024";"Wind";"5500";"5500";"41751";"Viersen";"MLK Windpark Viersen Nr. 83 GmbH & Co. KG";"ABR912027558177";"9.10.2024"
"SEE947591694617";"WEA Viersen 4";"In Betrieb";"4.10.2024";"9.10.2024";"Wind";"5500";"5500";"41751";"Viersen";"MLK Windpark Viersen Nr. 83 GmbH & Co. KG";"ABR912027558177";"9.10.2024"
"SEE984124591654";"WP Görrisau 03";"In Betrieb";"8.10.2024";"9.10.2024";"Wind";"4200";"4200";"24887";"Silberstedt";"Windpark Görrisau GmbH & Co. KG";"ABR904378570434";"9.10.2024"
"SEE910303641896";"WP Görrisau 04";"In Betrieb";"8.10.2024";"9.10.2024";"Wind";"4200";"4200";"24887";"Silberstedt";"Windpark Görrisau GmbH & Co. KG";"ABR904378570434";"9.10.2024"
"SEE995755733696";"WEA-Hoc-01-24";"In Betrieb";"25.9.2024";"9.10.2024";"Wind";"5600";"5600";"89547";"Gerstetten";"Stadtwerke Fellbach GmbH";"ABR920238778451";"9.10.2024"
"SEE940047744096";"WEA-Hoc-02-24";"In Betrieb";"27.9.2024";"9.10.2024";"Wind";"5600";"5600";"89547";"Gerstetten";"Stadtwerke Fellbach GmbH";"ABR920238778451";"9.10.2024"
"SEE908206023543";"Easy Wind 2";"In Betrieb";"8.10.2024";"9.10.2024";"Wind";"6";"6";"25842";"Bargum";"(natürliche Person)";"ABR932374857891";"9.10.2024"
"SEE920726277565";"windrad";"In Planung";"";"9.10.2024";"Wind";"1";"1";"98630";"Römhild";"(natürliche Person)";"ABR911403988287";"9.10.2024"
"SEE916669772892";"GRAM 03";"In Betrieb";"7.10.2024";"8.10.2024";"Wind";"5600";"5600";"17291";"Uckerfelde";"GSW Windmühle Hohengüstow GmbH & Co. KG";"ABR924232917052";"8.10.2024"
"SEE925020155458";"EK 2";"In Planung";"";"7.10.2024";"Wind";"5700";"5700";"16259";"Beiersdorf-Freudenberg";"Energiekontor AG";"ABR944401108647";"16.10.2024"
"SEE963893127103";"EK 5";"In Planung";"";"7.10.2024";"Wind";"5700";"5700";"16259";"Beiersdorf-Freudenberg";"Energiekontor AG";"ABR944401108647";"7.10.2024"
"SEE996266218658";"WEA 10";"In Planung";"";"6.10.2024";"Wind";"7200";"7200";"39397";"Gröningen";"Windpark Gröningen GmbH & Co. 2. Betriebs KG";"ABR919619766439";"6.10.2024"
"SEE937450494458";"WEA 12";"In Planung";"";"6.10.2024";"Wind";"7200";"7200";"39397";"Gröningen";"Windpark Gröningen GmbH & Co. 2. Betriebs KG";"ABR919619766439";"6.10.2024"
"SEE984142335766";"WEA 14";"In Planung";"";"6.10.2024";"Wind";"7200";"7200";"39397";"Gröningen";"Windpark Gröningen GmbH & Co. 2. Betriebs KG";"ABR919619766439";"6.10.2024"
"SEE989967764258";"GRAM 02";"In Betrieb";"30.9.2024";"4.10.2024";"Wind";"5600";"5600";"17291";"Gramzow";"GSW Windpark Gramzow GmbH & Co. KG";"ABR901987148849";"4.10.2024"
"SEE907803017726";"WEA Roßkopf Südwest";"In Planung";"";"4.10.2024";"Wind";"6000";"6000";"79104";"Freiburg";"regiowind Verwaltungs-GmbH";"ABR941718048055";"4.10.2024"
"SEE949753726785";"WEA Rotzel 4";"In Planung";"";"4.10.2024";"Wind";"6000";"6000";"79215";"Biederbach";"Windenergie Biederbach GmbH & Co. KG";"ABR925272275843";"23.10.2024"
"SEE961771318797";"WEA Brombeerkopf 1";"In Planung";"";"4.10.2024";"Wind";"4260";"4260";"79252";"Stegen";"regiowind Verwaltungs-GmbH";"ABR941718048055";"4.10.2024"
"SEE970919545254";"WEA Brombeerkopf 2";"In Planung";"";"4.10.2024";"Wind";"4260";"4260";"79252";"Stegen";"regiowind Verwaltungs-GmbH";"ABR941718048055";"4.10.2024"
"SEE947972033219";"RubkowI V150-4,2 WEA1";"In Planung";"";"4.10.2024";"Wind";"4200";"4200";"17390";"Rubkow";"Naturwind Schwerin GmbH";"ABR920816539849";"4.10.2024"
"SEE900410046882";"RubkowI V150-4,2 WEA2";"In Planung";"";"4.10.2024";"Wind";"4200";"4200";"17390";"Rubkow";"Naturwind Schwerin GmbH";"ABR920816539849";"4.10.2024"
"SEE974160104864";"RubkowI V150-4,2 WEA5";"In Planung";"";"4.10.2024";"Wind";"4200";"4200";"17390";"Rubkow";"Naturwind Schwerin GmbH";"ABR920816539849";"4.10.2024"
"SEE918491997788";"BT-54 (WEA 1)";"In Planung";"";"4.10.2024";"Wind";"3500";"3500";"32683";"Barntrup";"Regenerative Energien Lemgo Verwaltungs-GmbH";"ABR907714072715";"4.10.2024"
"SEE910901937773";"BT-55 (WEA 2)";"In Planung";"";"4.10.2024";"Wind";"3500";"3500";"32683";"Barntrup";"Regenerative Energien Lemgo Verwaltungs-GmbH";"ABR907714072715";"4.10.2024"
"SEE991759612494";"BT-59 (WEA 1)";"In Planung";"";"4.10.2024";"Wind";"7800";"7800";"32683";"Barntrup";"Stadtwerke Lemgo GmbH";"ABR996808053518";"4.10.2024"
"SEE922567567553";"WE Hachlohfeld Vestas 172.7.2 Mw";"In Planung";"";"4.10.2024";"Wind";"7200";"7200";"48683";"Ahaus";"WEHachlohfeldGmbH&Co.KG";"ABR945277122096";"4.10.2024"
"SEE920480237706";"WEA 2, Rhader Straße";"In Planung";"";"4.10.2024";"Wind";"4260";"4260";"46325";"Borken";"Windenergie Marbeck Rhader Straße GmbH & Co. KG";"ABR978083828500";"4.10.2024"
"SEE943999454259";"WEA 3, Greven Esch";"In Planung";"";"4.10.2024";"Wind";"5560";"5560";"46325";"Borken";"Windenergie Marbeck Greven Esch GmbH & Co. KG";"ABR956546425350";"4.10.2024"
"SEE989352738970";"WEA 4, Greven Esch";"In Planung";"";"4.10.2024";"Wind";"5560";"5560";"46325";"Borken";"Windenergie Marbeck Greven Esch GmbH & Co. KG";"ABR956546425350";"4.10.2024"
"SEE955555160818";"WEA 5, Große Heide";"In Planung";"";"4.10.2024";"Wind";"5560";"5560";"46325";"Borken";"Windenergie Marbeck Große Heide GmbH & Co. KG";"ABR960380214964";"4.10.2024"
"SEE980141012868";"WEA 6, Marbecker Straße";"In Planung";"";"4.10.2024";"Wind";"6000";"6000";"46325";"Borken";"Windenergie Marbecker Straße GmbH & Co. KG";"ABR990737079144";"4.10.2024"
"SEE999514711109";"Etteln 3";"In Planung";"";"4.10.2024";"Wind";"6000";"6000";"33178";"Borchen";"Energieplan Ost West GmbH & Co. KG";"ABR971664063826";"4.10.2024"
"SEE976104710377";"Etteln 4";"In Planung";"";"4.10.2024";"Wind";"5560";"5560";"33178";"Borchen";"Energieplan Ost West GmbH & Co. KG";"ABR971664063826";"4.10.2024"
"SEE929887225750";"Vestas V162-7.2 B64";"In Planung";"";"4.10.2024";"Wind";"7200";"7200";"33184";"Altenbeken";"Windenergie an der B64 GmbH & Co.KG";"ABR923486274461";"4.10.2024"
"SEE967916891880";"WEA 05 Böcksgrund E-160";"In Planung";"";"4.10.2024";"Wind";"5560";"5560";"33175";"Bad Lippspringe";"BöcksWind GmbH & Co.KG";"ABR927672071421";"4.10.2024"
"SEE988426934560";"WP Neukirchen WEA 1";"In Planung";"";"4.10.2024";"Wind";"4200";"4200";"41516";"Grevenbroich";"MLK Consulting GmbH & Co. KG";"ABR905703903613";"4.10.2024"
"SEE997680846502";"Windpark Neukirchen WEA 2";"In Planung";"";"4.10.2024";"Wind";"4200";"4200";"41516";"Grevenbroich";"MLK Consulting GmbH & Co. KG";"ABR905703903613";"4.10.2024"
"SEE960046583069";"PRL01";"In Planung";"";"4.10.2024";"Wind";"4200";"4200";"66706";"Perl";"Windpark Oberperl GmbH & Co. KG";"ABR904872495769";"4.10.2024"
"SEE906356169012";"WEA 1";"In Planung";"";"4.10.2024";"Wind";"5560";"5560";"27327";"Martfeld";"Windpark Neue Weide Repowering GmbH & Co. KG";"ABR913105635087";"4.10.2024"
"SEE990943035040";"WEA 03 Böcksgrund E-175";"In Planung";"";"4.10.2024";"Wind";"6000";"6000";"33175";"Bad Lippspringe";"BöcksWind GmbH & Co.KG";"ABR927672071421";"4.10.2024"
"SEE925942796654";"WEA 2";"In Planung";"";"4.10.2024";"Wind";"5560";"5560";"27327";"Martfeld";"Windpark Neue Weide Repowering GmbH & Co. KG";"ABR913105635087";"4.10.2024"
"SEE999107365085";"WEA 02 Böcksgrund E-175";"In Planung";"";"4.10.2024";"Wind";"6000";"6000";"33175";"Bad Lippspringe";"BöcksWind GmbH & Co.KG";"ABR927672071421";"4.10.2024"
"SEE965072673098";"WEA 01 Böcksgrund E-175";"In Planung";"";"4.10.2024";"Wind";"6000";"6000";"33175";"Bad Lippspringe";"BöcksWind GmbH & Co.KG";"ABR927672071421";"4.10.2024"
"SEE931388867643";"WP Bettenfeld";"In Planung";"";"4.10.2024";"Wind";"5560";"5560";"91610";"Insingen";"enerlogo GmbH & Co. KG";"ABR956216717358";"4.10.2024"
"SEE931833963470";"WEA 1";"In Planung";"";"4.10.2024";"Wind";"5600";"5600";"37249";"Neu-Eichenberg";"eno energy GmbH";"ABR918822616838";"4.10.2024"
"SEE944587508781";"WEA A5";"In Planung";"";"4.10.2024";"Wind";"7200";"7200";"48703";"Stadtlohn";"Bürgerwind Almsicker Loh GmbH & Co. KG";"ABR929860656519";"4.10.2024"
"SEE930547865124";"WEA A6";"In Planung";"";"4.10.2024";"Wind";"7200";"7200";"48703";"Stadtlohn";"Bürgerwind Almsicker Loh GmbH & Co. KG";"ABR929860656519";"4.10.2024"
"SEE941027955228";"WEA A7";"In Planung";"";"4.10.2024";"Wind";"7200";"7200";"48703";"Stadtlohn";"Bürgerwind Almsicker Loh GmbH & Co. KG";"ABR929860656519";"4.10.2024"
"SEE927161512879";"WEA A8";"In Planung";"";"4.10.2024";"Wind";"7200";"7200";"48703";"Stadtlohn";"Bürgerwind Almsicker Loh GmbH & Co. KG";"ABR929860656519";"4.10.2024"
"SEE925903688776";"Rastede-Kleibrok, Strothweg, WEA 1";"In Planung";"";"4.10.2024";"Wind";"7200";"7200";"26180";"Rastede";"BGK GmbH & Co. KG";"ABR902080022883";"28.10.2024"
"SEE970151781250";"V1 Vierrutenbruch 1";"In Planung";"";"4.10.2024";"Wind";"7200";"7200";"17291";"Schenkenberg";"ENERTRAG SE";"ABR912499302384";"4.10.2024"
"SEE981184935794";"V2 Vierrutenbruch 2";"In Planung";"";"4.10.2024";"Wind";"7200";"7200";"17291";"Schenkenberg";"ENERTRAG SE";"ABR912499302384";"4.10.2024"
"SEE931472354752";"V3 Vierrutenbruch 3";"In Planung";"";"4.10.2024";"Wind";"7200";"7200";"17291";"Schenkenberg";"ENERTRAG SE";"ABR912499302384";"4.10.2024"
"SEE909422651909";"V4 Vierrutenbruch 4";"In Planung";"";"4.10.2024";"Wind";"7200";"7200";"17291";"Schenkenberg";"ENERTRAG SE";"ABR912499302384";"4.10.2024"
"SEE911930096165";"R1 Rehberge 1";"In Planung";"";"4.10.2024";"Wind";"7200";"7200";"17291";"Schenkenberg";"ENERTRAG SE";"ABR912499302384";"4.10.2024"
"SEE932392805027";"R2 Rehberge 2";"In Planung";"";"4.10.2024";"Wind";"7200";"7200";"17291";"Schenkenberg";"ENERTRAG SE";"ABR912499302384";"4.10.2024"
"SEE952589806071";"R3 Rehberge 3";"In Planung";"";"4.10.2024";"Wind";"7200";"7200";"17291";"Schenkenberg";"ENERTRAG SE";"ABR912499302384";"4.10.2024"
"SEE948341625776";"R4 Rehberge 4";"In Planung";"";"4.10.2024";"Wind";"7200";"7200";"17291";"Schenkenberg";"ENERTRAG SE";"ABR912499302384";"4.10.2024"
"SEE915633442861";"R5 Rehberge 5";"In Planung";"";"4.10.2024";"Wind";"7200";"7200";"17291";"Schenkenberg";"ENERTRAG SE";"ABR912499302384";"4.10.2024"
"SEE978757828348";"R6 Rehberge 6";"In Planung";"";"4.10.2024";"Wind";"7200";"7200";"17291";"Schenkenberg";"ENERTRAG SE";"ABR912499302384";"4.10.2024"
"SEE987270640283";"Finnentrop-Hesenberg WEA1";"In Planung";"";"4.10.2024";"Wind";"6000";"6000";"57413";"Finnentrop";"SL Windenergie GmbH";"ABR951762163239";"4.10.2024"
"SEE952290914393";"Finnentrop-Hesenberg WEA2";"In Planung";"";"4.10.2024";"Wind";"6000";"6000";"57413";"Finnentrop";"SL Windenergie GmbH";"ABR951762163239";"4.10.2024"
"SEE913703398223";"WEA 1";"In Planung";"";"4.10.2024";"Wind";"5560";"5560";"27327";"Martfeld";"Windpark Martfeld Repowering GmbH & Co. KG";"ABR989484686385";"4.10.2024"
"SEE931114616545";"WEA 1";"In Planung";"";"4.10.2024";"Wind";"6000";"6000";"17392";"Neuenkirchen";"BS Beteiligung Nr. 12 GmbH & Co. KG";"ABR996693042444";"4.10.2024"
"SEE906284742851";"WEA 2";"In Planung";"";"4.10.2024";"Wind";"6000";"6000";"17392";"Neuenkirchen";"BS Beteiligung Nr. 12 GmbH & Co. KG";"ABR996693042444";"4.10.2024"
"SEE942946081142";"WEA 3";"In Planung";"";"4.10.2024";"Wind";"6000";"6000";"17392";"Neuenkirchen";"BS Beteiligung Nr. 12 GmbH & Co. KG";"ABR996693042444";"4.10.2024"
"SEE911256240242";"WEA 4";"In Planung";"";"4.10.2024";"Wind";"6000";"6000";"17391";"Medow";"BS Beteiligung Nr. 12 GmbH & Co. KG";"ABR996693042444";"4.10.2024"
"SEE947876253065";"WEA 5";"In Planung";"";"4.10.2024";"Wind";"4200";"4200";"17392";"Neuenkirchen";"BS Beteiligung Nr. 12 GmbH & Co. KG";"ABR996693042444";"4.10.2024"
"SEE905455264093";"Repowering Windpark Liethe, Rehornweg WEA 2";"In Planung";"";"4.10.2024";"Wind";"7200";"7200";"26180";"Rastede";"BGK GmbH & Co. KG";"ABR902080022883";"28.10.2024"
"SEE999007618571";"Rastede-Liethe, Rehornweg WEA 3";"In Planung";"";"4.10.2024";"Wind";"7200";"7200";"26180";"Rastede";"BGK GmbH & Co. KG";"ABR902080022883";"28.10.2024"
"SEE934767641377";"WPM II WEA 04";"In Planung";"";"4.10.2024";"Wind";"5560";"5560";"33165";"Lichtenau";"WP Mittelberg II GmbH & Co. KG";"ABR959385836967";"4.10.2024"
"SEE903227855906";"WPM II WEA 05";"In Planung";"";"4.10.2024";"Wind";"5560";"5560";"33165";"Lichtenau";"WP Mittelberg II GmbH & Co. KG";"ABR959385836967";"4.10.2024"
"SEE964463182652";"WPM II WEA 06";"In Planung";"";"4.10.2024";"Wind";"5560";"5560";"33165";"Lichtenau";"WP Mittelberg II GmbH & Co. KG";"ABR959385836967";"4.10.2024"
"SEE907793722617";"WPM II WEA 07";"In Planung";"";"4.10.2024";"Wind";"5560";"5560";"33165";"Lichtenau";"WP Mittelberg II GmbH & Co. KG";"ABR959385836967";"4.10.2024"
"SEE975942617534";"WPM II WEA 11";"In Planung";"";"4.10.2024";"Wind";"5560";"5560";"33165";"Lichtenau";"WP Mittelberg II GmbH & Co. KG";"ABR959385836967";"4.10.2024"
"SEE929144166710";"WPM II WEA 15";"In Planung";"";"4.10.2024";"Wind";"4200";"4200";"33165";"Lichtenau";"WP Mittelberg II GmbH & Co. KG";"ABR959385836967";"4.10.2024"
"SEE995393842316";"WEA 3";"In Planung";"";"3.10.2024";"Wind";"7200";"7200";"34439";"Willebadessen";"Windenergie Borlinghausen / Helmern GbR";"ABR999077347357";"3.10.2024"
"SEE936918487667";"WEA 4";"In Planung";"";"3.10.2024";"Wind";"7200";"7200";"34439";"Willebadessen";"Windenergie Borlinghausen / Helmern GbR";"ABR999077347357";"3.10.2024"
"SEE979609053611";"WEA 5";"In Planung";"";"3.10.2024";"Wind";"7200";"7200";"34439";"Willebadessen";"Windenergie Borlinghausen / Helmern GbR";"ABR999077347357";"3.10.2024"
"SEE927446932842";"Windpark Rieseby II GmbH & Co. KG - WEA 1";"In Planung";"";"3.10.2024";"Wind";"5700";"5700";"24354";"Rieseby";"Windpark Rieseby II GmbH & Co. KG";"ABR913061081812";"3.10.2024"
"SEE900430021708";"Windpark Rieseby II GmbH & Co. KG - WEA 2";"In Planung";"";"3.10.2024";"Wind";"5700";"5700";"24354";"Rieseby";"Windpark Rieseby II GmbH & Co. KG";"ABR913061081812";"3.10.2024"
"SEE904145265846";"Windpark Rieseby II GmbH & Co. KG - WEA 3";"In Planung";"";"3.10.2024";"Wind";"5700";"5700";"24354";"Rieseby";"Windpark Rieseby II GmbH & Co. KG";"ABR913061081812";"3.10.2024"
